,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
82,calvinia,-31.47,19.78,12.43,36,0,1.29
83,grindavik,63.84,-22.43,3.52,64,75,8.7
84,torbay,47.67,-52.73,7.43,93,90,8.7
85,kodiak,57.79,-152.41,6,93,90,3.6
86,oussouye,12.48,-16.55,25.47,78,92,2.1
87,upernavik,72.79,-56.15,-4.47,95,100,1.26
88,kenai,60.55,-151.26,6.4,60,90,3.1
89,longyearbyen,78.22,15.64,-1,68,75,11.8
90,laguna,38.42,-121.42,23.8,13,1,3.6
91,mount isa,-20.73,139.5,20,49,96,1.5
92,fort nelson,58.81,-122.7,6,75,75,6.2
93,koumac,-20.57,164.28,25.13,79,94,2.59
94,arivonimamo,-19.02,47.18,13.16,61,7,2.31
95,muros,42.78,-9.06,13.71,93,20,1
96,bluff,-46.6,168.33,6.67,94,100,1.79
97,kamalpur,24.2,91.83,24.33,73,0,2.35
98,ulefoss,59.28,9.26,7.2,56,100,5.1
99,khatanga,71.97,102.5,-21.09,90,88,2.21
100,logan,41.74,-111.83,8.52,23,90,6.7
101,hasaki,35.73,140.83,5.39,75,20,1.5
102,dakar,14.69,-17.44,22,83,100,4.1
103,tra vinh,9.93,106.35,26.53,79,9,4.11
104,lang son,21.83,106.73,14.8,78,96,0.79
105,najran,17.49,44.13,22,60,40,0.59
106,bambous virieux,-20.34,57.76,24.73,94,40,5.7
107,la ronge,55.1,-105.28,-1,39,20,4.6
108,kamloops,50.67,-120.32,12,76,90,3.1
109,norman wells,65.28,-126.83,2,64,75,8.2
110,richards bay,-28.78,32.04,19.63,89,100,10.83
111,luderitz,-26.65,15.16,16,72,88,6.7
112,tsuruoka,38.72,139.82,6.8,73,42,4.28
113,dalaba,10.7,-12.25,21.4,57,94,1.9
114,tasiilaq,65.61,-37.64,1,50,2,7.2
115,porbandar,21.64,69.61,26.73,63,26,5.37
116,harper,4.38,-7.72,27.75,78,100,2.05
117,lohja,60.25,24.07,-0.16,92,40,4.1
118,quelimane,-17.88,36.89,27,88,0,2.1
119,tuktoyaktuk,69.45,-133.04,-4,92,90,6.7
120,lagoa,39.05,-27.98,11.58,85,100,8.86
121,polyarnyy,69.2,33.45,1,86,75,2
122,comodoro rivadavia,-45.87,-67.5,17,51,1,4.1
123,nelson bay,-32.72,152.15,16.15,93,0,2.6
124,iqaluit,63.75,-68.51,-7.69,57,75,4.6
125,ambilobe,-13.2,49.05,23.6,79,68,2.85
126,mayo,38.89,-76.51,12.92,50,75,4.6
127,port elizabeth,-33.92,25.57,16,100,90,3.1
128,chiriguana,9.36,-73.6,34.98,41,62,0.9
129,hatillo,18.49,-66.83,26.52,84,33,1.34
130,linkou,45.3,130.28,2.74,68,0,1.3
131,ancud,-41.87,-73.82,11,100,40,3.1
132,balkhash,46.84,74.98,8.41,63,100,7.06
133,narsaq,60.92,-46.05,0,88,40,2.1
134,lavrentiya,65.58,-171,-2.02,96,100,4.61
135,asilah,35.47,-6.03,16.44,77,75,4.1
136,butaritari,3.07,172.79,28.65,80,34,8.22
137,bilma,18.69,12.92,30.25,11,85,4.05
138,oistins,13.07,-59.53,28,65,40,6.7
139,kirovskiy,45.09,133.51,1.65,80,0,2.42
140,padang,-0.95,100.35,25.85,73,66,1.23
141,eureka,40.8,-124.16,17.1,45,1,9.3
142,sioux lookout,50.1,-91.92,-5,41,75,5.1
143,klaksvik,62.23,-6.59,8,93,100,8.7
144,chegdomyn,51.12,133.02,-1,83,0,0.26
145,lebu,-37.62,-73.65,15.07,63,49,2.54
146,beringovskiy,63.05,179.32,-3.9,97,100,4.88
147,new norfolk,-42.78,147.06,13.8,87,75,2.1
148,pauini,-7.71,-66.98,29.13,75,38,1.09
149,bambanglipuro,-7.95,110.28,25.48,80,70,1.28
150,cherskiy,68.75,161.3,-13.26,95,82,4.58
151,vardo,70.37,31.11,1,93,75,4.6
152,mtwara,-10.27,40.18,24,100,40,5.1
153,warrington,53.39,-2.58,5.49,70,36,1.5
154,te anau,-45.42,167.72,4.94,69,92,0.37
155,ocampo,21.65,-101.5,28.09,6,5,6.21
156,kapaa,22.08,-159.32,26.06,78,1,5.1
157,hofn,64.25,-15.21,3.56,73,100,7.29
158,adrar,20.5,-10.07,24.59,50,42,5.94
159,the valley,18.22,-63.06,27.47,69,40,4.6
160,aksu,41.12,80.26,18.32,17,67,2.36
161,cap-aux-meules,47.38,-61.86,8,52,40,7.2
162,saint-augustin,51.23,-58.65,4.46,70,51,8.21
163,lae,-6.72,146.98,26,83,75,2.1
164,buchanan,5.88,-10.05,27,88,20,2.37
165,belmonte,-15.86,-38.88,24,94,75,2.1
166,agua verde,22.9,-106.05,25.26,50,5,5.7
167,umm kaddadah,13.6,26.69,23.33,14,53,5.71
168,kaitangata,-46.28,169.85,8.98,79,66,1.79
169,east london,-33.02,27.91,18.4,71,100,1.9
170,kloulklubed,7.04,134.26,25,94,75,2.6
171,mar del plata,-38,-57.56,15.37,72,20,6.7
172,jamestown,42.1,-79.24,3.99,41,90,5.1
173,faya,18.39,42.45,17,87,20,5.1
174,khorinsk,52.17,109.77,0.53,69,100,2.7
175,kibala,9.11,18.35,32,52,27,0.99
176,peniche,39.36,-9.38,13.21,100,40,4.6
177,victoria,22.29,114.16,18.24,72,20,2.1
178,srednekolymsk,67.45,153.68,-20.91,89,4,0.38
179,airai,-8.93,125.41,15.78,68,86,1.03
180,kahului,20.89,-156.47,23.88,74,1,2.1
181,cabo san lucas,22.89,-109.91,25.42,41,5,4.6
182,yenagoa,4.92,6.26,26.58,89,53,2.08
183,kilembe,0.2,30,16.38,56,88,0.11
184,meulaboh,4.14,96.13,25.94,81,73,2.16
185,kuytun,54.34,101.5,1.82,64,0,0.64
186,ankang,32.68,109.02,12.98,62,0,1.16
187,vila franca do campo,37.72,-25.43,14,87,40,1.5
188,maceio,-9.67,-35.74,26,78,98,3.6
189,bairiki,1.33,172.98,31,74,20,4.1
190,beloha,-25.17,45.05,25.17,67,0,3.18
191,carnarvon,-24.87,113.63,23,69,35,8.7
192,faanui,-16.48,-151.75,28.16,72,24,3.32
193,changde,29.05,111.68,14.25,77,0,2.46
194,ewa beach,21.32,-158.01,25.39,61,75,3.1
195,fort-shevchenko,44.51,50.26,9.59,80,0,10.74
196,durant,33.99,-96.37,10.45,53,90,3.6
197,talara,-4.58,-81.27,25.92,66,26,4.29
198,mandal,25.45,74.57,30.84,19,97,5.72
199,barrow,71.29,-156.79,-11,92,90,3.1
200,pasni,25.26,63.47,27.43,62,0,3.28
201,georgetown,5.41,100.34,26.83,94,20,0.89
202,mount gambier,-37.83,140.77,16,44,98,4.6
203,neiafu,-18.65,-173.98,27,88,75,3.1
204,rundu,-17.93,19.77,24,69,9,0.5
205,sorland,67.67,12.69,3.35,84,100,9.48
206,semnan,35.57,53.4,11.96,39,67,2.5
207,bara,10.37,10.73,32.06,10,7,3.48
208,pangnirtung,66.15,-65.71,-11,78,20,2.1
209,nikolskoye,59.7,30.79,0.87,98,75,2
210,derzhavinsk,51.1,66.32,3.22,70,71,6.21
211,saldanha,-33.01,17.94,15,82,0,1.5
212,ekhabi,53.51,142.97,-2.62,97,100,5.53
213,krasnoselkup,65.7,82.47,-4.36,97,72,3.06
214,cooma,-36.23,149.13,9,93,34,3.6
215,omsukchan,62.53,155.8,-8.67,89,100,2.14
216,talnakh,69.49,88.4,-18,77,27,9
217,sapele,5.89,5.68,26.89,87,60,1.94
218,kimbe,-5.55,150.14,25.26,88,88,0.93
219,constitucion,-35.33,-72.42,16.87,50,13,4.83
220,provideniya,64.38,-173.3,-1,80,90,6
221,brae,60.4,-1.35,8,87,100,12.3
222,puerto madero,14.72,-92.42,34,52,40,4.6
223,leh,34.17,77.58,3.35,17,94,2.4
224,peleduy,59.63,112.74,-1.05,93,0,0.15
225,puerto colombia,10.99,-74.95,31,58,20,7.7
226,pisco,-13.7,-76.22,22.09,30,30,4.1
227,alofi,-19.06,-169.92,28,74,75,4.6
228,husavik,66.04,-17.34,5,48,75,5.1
229,koslan,63.46,48.9,1.62,84,72,4.23
230,vanavara,60.34,102.28,0.35,84,0,0.67
231,sinnamary,5.38,-52.95,26.78,71,43,3.66
232,north platte,41.12,-100.77,7.55,26,90,8.7
233,wenzhou,28,120.67,15.56,83,99,1.33
234,caronport,50.45,-105.82,0.49,51,0,2.87
235,shubarshi,48.59,57.19,5.49,59,12,5.07
236,tanout,14.97,8.89,29.04,11,0,5.21
237,tonantins,-2.87,-67.8,26.89,90,78,1.23
238,codrington,-38.27,141.97,16.96,45,99,6.34
239,karakulino,56.01,53.71,3.12,78,17,2.05
240,eirunepe,-6.66,-69.87,30.27,67,77,0.72
241,kipini,-2.53,40.53,28.15,83,98,4.98
242,victor harbor,-35.57,138.62,19.55,25,98,5.1
243,half moon bay,37.46,-122.43,24.3,19,20,4.21
244,hami,42.8,93.45,17.4,31,15,5.76
245,da nang,16.07,108.22,23,88,75,0.5
246,batemans bay,-35.72,150.18,13.67,100,69,1.54
247,aklavik,68.22,-135.01,1.78,69,75,1.5
248,terrasini,38.15,13.08,13.75,87,64,2.1
249,entre rios,-11.94,-38.08,23.98,79,80,2.16
250,coahuayana,18.73,-103.68,29,35,40,5.1
251,mogzon,51.74,111.96,0.82,58,100,3.97
252,linqu,36.52,118.54,16.67,36,98,2.89
253,ostrovnoy,68.05,39.51,1.47,88,89,6.51
254,tiarei,-17.53,-149.33,31,66,45,3.1
255,paamiut,61.99,-49.67,-1.66,91,86,1.47
256,dhidhdhoo,6.88,73.1,29.6,62,26,0.24
257,sitka,57.05,-135.33,7,93,90,1.5
258,kupang,-10.17,123.58,25,88,20,3.6
259,nalut,30.33,10.85,26.31,23,100,3.42
260,kruisfontein,-34,24.73,13.66,82,6,2.51
261,korla,41.76,86.15,17.8,20,62,4.81
262,inuvik,68.35,-133.72,1.39,69,90,3.1
263,saint-philippe,-21.36,55.77,20.96,88,1,6.7
264,soke,13.6,-5.94,34.39,27,86,6.43
265,loandjili,-4.76,11.86,27.06,87,98,2.11
266,isangel,-19.55,169.27,26.21,76,93,3.76
267,weligama,5.97,80.42,25.57,87,26,1.96
268,maoming,21.65,110.9,16.77,73,96,1.46
269,lompoc,34.64,-120.46,20.76,72,1,6.7
270,chokurdakh,70.63,147.92,-24.47,90,1,2.23
271,orai,25.98,79.47,31.88,24,97,0.89
272,kyra,49.58,111.98,3.35,48,100,7.56
273,douglas,41.3,-96.17,7.42,26,90,5.1
274,yerbogachen,61.28,108.01,0.25,85,67,1.67
275,henties bay,-22.12,14.28,14.44,91,0,4.26
276,san cristobal,7.77,-72.22,31,52,40,7.2
277,guerrero negro,27.98,-114.06,20.18,57,35,6.4
278,labrea,-7.26,-64.8,27.66,90,72,0.93
279,dukat,62.55,155.55,-10.1,88,100,1.99
280,san carlos de bariloche,-41.15,-71.31,14.13,50,75,3.6
281,dubbo,-32.25,148.62,12,87,56,3.6
282,van,38.49,43.38,3,59,3,1.09
283,san pedro,14.35,121.02,25.55,83,20,2.1
284,sao jose da coroa grande,-8.9,-35.15,27.2,69,100,3.6
285,ust-nera,64.57,143.2,-12.5,84,72,1.12
286,carballo,43.21,-8.69,13.01,100,90,1.5
287,ketchikan,55.34,-131.65,9.21,87,90,2.6
288,kavaratti,10.57,72.64,29.03,72,4,3.34
289,leningradskiy,69.38,178.42,-11.91,92,97,1.7
290,cairns,-16.92,145.77,23.63,78,40,5.7
291,yanam,16.73,82.22,26.36,82,0,2.33
292,hamilton,39.18,-84.53,7.9,31,75,5.1
293,atherton,53.52,-2.49,5.54,70,37,1.5
294,deming,32.27,-107.76,19.41,12,1,3.6
295,mollendo,-17.02,-72.01,22.15,68,29,3.27
296,hvide sande,56,8.13,6.49,75,100,8.7
297,safita,34.82,36.12,12.89,82,0,2.1
298,clyde river,70.47,-68.59,-13,92,20,1
299,lata,40.16,-8.33,15.29,77,20,3.1
300,farias brito,-6.93,-39.57,23.34,84,90,0.69
301,sao filipe,14.9,-24.5,22.83,75,77,7.04
302,qaqortoq,60.72,-46.03,0,91,40,2.1
303,filingue,14.35,3.32,31.27,11,35,2.68
304,mahajanga,-15.72,46.32,24,78,20,2.1
305,mehamn,71.04,27.85,2,80,75,2.6
306,namibe,-15.2,12.15,23.56,69,1,2.27
307,skjervoy,70.03,20.97,0.19,90,100,7.62
308,kishi,9.08,3.85,31.68,34,57,1.65
309,arlit,18.74,7.39,32.5,10,15,5.33
310,romitan,39.93,64.38,10,46,52,5.1
311,cervo,43.67,-7.41,13.33,1,63,0.45
312,aswan,24.09,32.91,20.29,22,0,5.53
313,porto novo,6.5,2.6,30,79,40,5.1
314,melilla,35.29,-2.94,15.92,88,90,1.87
315,colesberg,-30.72,25.1,11.19,53,1,7.31
316,broken hill,-31.95,141.43,12,46,35,4.1
317,jalu,29.03,21.55,24.95,18,0,5.82
318,ishigaki,24.34,124.16,15,82,20,2.1
319,palma gil,7.64,125.63,25,88,20,1
320,kawalu,-7.38,108.21,22.64,82,73,0.42
321,banda aceh,5.56,95.32,26.69,79,96,1.63
322,thompson,55.74,-97.86,-5,41,20,5.7
323,aginskoye,51.1,114.53,4.33,47,100,6.51
324,ganzhou,28.82,115.43,12.27,78,16,1.85
325,mbanza-ngungu,-5.25,14.87,22.51,78,94,0.87
326,sambava,-14.27,50.17,24.14,84,86,3.3
327,tual,-5.67,132.75,27.6,77,100,2.82
328,norrtalje,59.76,18.7,4.16,93,75,5.7
329,chato,-2.64,31.77,19.1,64,87,1.08
330,oranjemund,-28.55,16.43,13.92,84,62,5.29
331,little current,45.98,-81.92,1.52,59,75,9.8
332,vestmanna,62.16,-7.17,8,93,100,8.7
333,tiksi,71.69,128.87,-12.49,95,100,4.43
334,havoysund,71,24.66,1.01,80,75,2.6
335,karwar,14.8,74.13,26.75,85,24,1.85
336,andros town,24.7,-77.77,28.71,66,75,6.7
337,xining,36.62,101.77,7.9,19,24,1.08
338,werda,-25.27,23.28,17.51,22,0,4.28
339,tezu,27.92,96.17,23.38,35,18,1.58
340,houma,29.6,-90.72,22.15,64,40,6.2
341,kudahuvadhoo,2.67,72.89,28.98,69,9,0.84
342,champerico,14.3,-91.92,34,49,40,4.1
343,haines junction,60.75,-137.51,3.55,66,33,1.73
344,port blair,11.67,92.75,28.4,71,99,1.74
345,gambissara,13.24,-14.31,32.63,16,81,1.94
346,cravo norte,6.3,-70.2,36.2,27,0,4.48
347,espanola,35.99,-106.08,7.48,12,1,2.6
348,amapa,1,-52,22.68,94,100,0.73
349,tucumcari,35.17,-103.72,6,52,75,3.1
350,honiara,-9.43,159.95,25,88,40,1
351,bahsuma,29.22,77.97,27.44,29,100,3.28
352,lawton,34.61,-98.39,7.18,65,90,2.1
353,kalino,58.25,57.61,-0.28,93,0,1.17
354,portland,45.52,-122.68,19.23,22,20,4.1
355,kaeo,-35.1,173.78,17.24,68,38,4.47
356,viedma,-40.81,-63,18.69,38,0,3.06
357,goundam,16.41,-3.67,30.13,34,64,11.67
358,katsuura,35.13,140.3,11.44,45,0,1.5
359,vao,-22.67,167.48,23.5,76,92,6.29
360,kindu,-2.95,25.95,23.24,70,100,0.96
361,egvekinot,66.32,-179.17,-7.02,93,100,3.99
362,alagir,43.04,44.22,2,38,23,1
363,astana,51.18,71.45,3,75,0,4
364,san patricio,19.22,-104.7,25,73,5,4.1
365,portel,-1.94,-50.82,21.95,98,100,0.81
366,thinadhoo,0.53,72.93,29.66,62,54,0.21
367,chilliwack,49.17,-121.94,15.24,38,75,6.2
368,utete,-7.99,38.76,23.85,94,99,1.26
369,banganapalle,15.32,78.23,26.79,29,0,2.99
370,marica,-22.92,-42.82,26.27,65,71,1.5
371,lewistown,40.6,-77.57,7,52,40,6.7
372,guarapari,-20.67,-40.5,24.7,73,0,3.1
373,san vicente,-26.62,-54.13,16.06,43,0,1.52
374,dunedin,-45.87,170.5,9.19,69,71,0.45
375,manado,1.49,124.85,24,94,40,0.5
376,huarmey,-10.07,-78.15,25.96,63,28,4.19
377,atasu,48.68,71.64,2.38,67,15,3.24
378,magadan,59.57,150.8,-5.34,96,100,1.58
379,tateyama,34.98,139.87,11.28,59,0,1.5
380,gushikawa,26.35,127.87,16.16,72,90,1.5
381,san jeronimo,-11.95,-75.28,16.34,19,25,2.51
382,vostok,46.49,135.88,-2.46,82,82,0.94
383,zholymbet,51.74,71.71,1.66,75,0,4
384,sorong,-0.88,131.25,25.08,87,84,1.42
385,dharchula,29.85,80.53,15.71,34,80,3.11
386,chipinge,-20.19,32.62,17.43,64,1,2.19
387,necochea,-38.55,-58.74,14.08,67,0,5.36
388,shahr-e babak,30.12,55.12,12.08,32,0,3.73
389,beyneu,45.32,55.2,9.65,49,0,5.43
390,nanakuli,21.39,-158.15,25.75,73,75,2.1
391,beisfjord,68.38,17.6,-2.19,94,100,5.7
392,kirakira,-10.45,161.92,28.43,75,89,2.93
393,hyeres,43.12,6.12,11.55,87,1,1.5
394,caravelas,-17.71,-39.25,25.34,85,15,2.55
395,mujiayingzi,42.12,118.78,8.75,38,83,2.07
396,qostanay,53.17,63.58,0,80,1,6
397,platanos,37.67,21.62,14.9,47,93,1
398,xuddur,4.12,43.89,26.48,64,94,6.16
399,rio verde de mato grosso,-18.92,-54.84,25.34,75,22,2.71
400,traverse city,44.76,-85.62,-0.46,31,75,7.7
401,olga,43.74,135.29,2.01,85,29,4.04
402,juegang,32.32,121.19,15,72,100,2.99
403,lanzhou,36.06,103.79,8.69,27,37,3
404,qasigiannguit,68.82,-51.19,-2.83,94,100,2.39
405,mecca,21.43,39.83,19.48,41,0,2.23
406,sao benedito do rio preto,-3.33,-43.53,23.24,95,100,1.48
407,los llanos de aridane,28.66,-17.92,16.21,72,75,1.5
408,mananjary,-21.22,48.33,23.88,84,4,1.59
409,chara,56.91,118.26,-4.57,84,37,0.39
410,puerto baquerizo moreno,-0.9,-89.6,24.85,87,83,5.35
411,vytegra,61.01,36.45,1.33,86,95,2.41
412,spirovo,57.42,34.98,1.01,80,40,2.96
413,gorontalo,0.54,123.06,24.38,89,89,1.2
414,fare,-16.7,-151.02,28.69,67,11,2.61
415,bousso,10.48,16.71,32.09,12,2,2.67
416,bafra,41.57,35.91,8,87,100,0.5
417,sur,22.57,59.53,28.14,48,32,3.85
418,tautira,-17.73,-149.15,31,66,17,3.1
419,mamou,10.5,-12,24.16,60,99,3.74
420,rumoi,43.93,141.64,1.22,82,91,3.32
421,clarence town,-32.58,151.78,16,93,0,2.6
422,castleblayney,54.12,-6.73,7,81,7,1.5
423,lewiston,44.1,-70.21,10.38,27,1,4.6
424,vangaindrano,-23.35,47.6,22.92,92,8,2.09
425,fortuna,40.6,-124.16,16.94,62,20,7.7
426,prainha,-1.8,-53.48,22.43,96,100,2.17
427,sainte-marie,-20.9,55.55,21.34,73,8,5.1
428,abonnema,4.71,6.79,28,83,40,2.6
429,cheltenham,51.9,-2.08,5.59,65,1,1.4
430,oktyabrsk,49.47,57.42,4.21,62,34,5.18
431,churapcha,62,132.43,-4.42,96,100,3.21
432,nakamura,32.98,132.93,9.35,55,100,1.8
433,ellisras,-23.66,27.74,21.11,47,95,3.28
434,ploemeur,47.73,-3.43,9.78,70,0,6.7
435,berlevag,70.86,29.09,0,93,90,6.2
436,kilindoni,-7.91,39.67,28.95,76,99,6.49
437,lima,-12.04,-77.03,26,61,0,6.2
438,palmer,42.16,-72.33,11.75,23,75,2.53
439,gilbues,-9.83,-45.34,21.67,84,100,2.68
440,takapau,-40.03,176.35,7.66,72,61,1.55
441,oyem,1.6,11.58,21.58,80,100,1.19
442,buta,2.79,24.73,23.78,70,58,1.19
443,jati,24.35,68.27,25.12,84,100,5.13
444,bulungu,-4.55,18.6,24.41,73,4,0.61
445,xichang,27.9,102.26,13.2,34,0,1.28
446,teahupoo,-17.83,-149.27,31,66,17,3.1
447,kantunilkin,21.09,-87.45,28.94,70,20,8.7
448,belyy yar,53.6,91.39,0,73,18,1
449,kuah,6.33,99.84,26.84,94,20,4.52
450,el dorado,33.21,-92.67,12.64,50,90,4.6
451,sechura,-5.56,-80.82,25.56,65,26,4.93
452,souillac,-20.52,57.52,24.71,94,40,5.7
453,pangody,65.85,74.49,-0.18,98,100,4.84
454,goderich,43.75,-81.72,2.51,73,89,8.6
455,hirara,24.8,125.28,15,72,75,0.5
456,casablanca,33.59,-7.62,17.18,72,75,5.7
457,banjarmasin,-3.32,114.59,26,94,20,2.6
458,sergeyevka,53.88,67.42,3.4,78,99,6.66
459,ilulissat,69.22,-51.1,-2.73,93,100,1.08
460,dieppe,49.75,1.17,5.31,78,0,4.6
461,ranot,7.78,100.32,27.79,79,63,3.94
462,benjamin aceval,-24.97,-57.57,22,35,0,5.7
463,saint-paul,-21.01,55.27,20.77,73,4,5.1
464,nome,64.5,-165.41,1.06,86,90,7.7
465,pucallpa,-8.38,-74.55,33.79,39,10,2.57
466,hilton head island,32.22,-80.75,25.57,78,20,3.1
467,kandrian,-6.22,149.55,25.61,85,98,0.46
468,vestmannaeyjar,63.44,-20.27,5.08,72,100,7.86
469,noumea,-22.28,166.46,25.32,78,74,1
470,rawson,-43.3,-65.1,17.81,43,0,4.35
471,urengoy,65.97,78.37,-6.06,97,99,3.69
472,la crosse,43.8,-91.24,-0.67,54,90,7.2
473,denpasar,-8.65,115.22,27,88,20,1.5
474,praia da vitoria,38.73,-27.07,12,87,75,7.87
475,kandi,11.13,2.94,34.09,23,87,1.12
476,nouadhibou,20.93,-17.03,19,77,0,7.2
477,cabedelo,-6.98,-34.83,28,74,99,3.6
478,juneau,58.3,-134.42,10.68,71,40,4.6
479,ribeira grande,38.52,-28.7,11,71,40,6.2
480,damara,4.96,18.7,26,74,20,1
481,khor,47.89,134.95,0.57,86,0,3.47
482,amparafaravola,-17.58,48.22,17.41,74,9,2.21
483,dingzhou,38.51,115,9,93,37,1
484,takoradi,4.88,-1.76,28.02,82,37,3.2
485,north battleford,52.78,-108.28,1,47,1,3.6
486,dohar,23.59,90.15,28,83,0,2.1
487,poum,-20.23,164.02,25.82,79,100,5.93
488,meadow lake,34.8,-106.54,10.07,12,20,8.2
489,broome,42.25,-75.83,7.28,28,1,3.6
490,road town,18.42,-64.62,27.22,62,20,5.1
491,binzhou,37.37,118.02,16.67,36,9,2.99
492,praia,14.92,-23.51,23,69,24,8.7
493,fallon,39.47,-118.78,16,9,40,1.38
494,nandu,22.85,110.82,14.94,67,92,0.29
495,kasongo-lunda,-6.47,16.82,23.16,75,100,0.36
496,marzuq,14.4,46.47,22.7,53,95,0.6
497,sao joao da barra,-21.64,-41.05,25,78,3,6.2
498,awbari,26.59,12.78,29.95,11,52,3.31
499,bantogon,6.53,124.03,25.33,79,43,1.07
500,batagay,67.63,134.63,-11.93,92,100,2.59
501,tierranueva,21.68,-100.57,31.05,7,23,3.48
502,nishihara,26.18,127.76,16.29,63,75,1.04
503,russell,32.35,-85.2,23.1,57,75,4.6
504,omboue,-1.57,9.26,26.93,86,100,3.05
505,marsh harbour,26.54,-77.06,25.61,80,100,6.45
506,vilyuysk,63.76,121.62,0.15,93,100,5.05
507,wilmington island,32,-80.97,25.82,57,75,6.2
508,lebedinyy,58.52,125.52,-5.28,88,0,1.79
509,saint-louis,16.33,-15,31,27,96,3.1
510,college,64.86,-147.8,8.55,45,75,2.6
